,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEGIN CH1_DATA,"LNA, H1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H1",,,,,,,,,BEGIN CH1_DATA,"LNA, H2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H2",,,,,,,,,BEGIN CH1_DATA,"LNA, V1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V1",,,,,,,,,BEGIN CH1_DATA,"LNA, V2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V2",,,,,,,,,,,,,,,,
16.073125,16073125000,-3.0290945,-123.75574,-56.533871,152.36719,9.5522852,102.23257,-20.278175,144.59608,,16073125000,-3.0181971,-121.37719,-49.450394,-54.838497,44.980324,157.23476,-18.538294,178.201,,16073125000,-2.9810648,-103.75982,-53.420959,-84.142883,10.104247,-17.128407,-14.741709,-124.56606,,16073125000,-3.0869501,-102.63647,-51.190453,-16.168957,44.391766,-128.42989,-32.712177,-141.07214,,16073125000,-4.2358623,-151.99207,-60.825977,-113.36388,13.917797,-49.05439,-15.700507,29.810545,,16073125000,-4.2740016,-150.95227,-56.602036,-158.07875,47.720535,-115.49406,-17.300823,-162.41896,,16073125000,-4.4489198,-134.45685,-62.312431,-138.0676,13.679996,-37.237068,-17.730335,58.147629,,16073125000,-4.2677937,-134.46614,-52.313423,-17.386557,51.844585,-20.203531,-26.145433,-170.80782,,65.2538,,,,,,,
16.08125,16081250000,-2.6457911,-139.47676,-69.71685,2.2883079,9.1953821,82.370949,-20.980864,128.32253,,16081250000,-2.7161708,-138.22455,-63.445694,159.62231,44.631512,132.1181,-21.014849,-178.47789,,16081250000,-2.6956303,-121.20625,-75.870232,137.38475,9.8371563,-35.966148,-14.969061,-133.17439,,16081250000,-2.6669798,-120.00708,-61.305115,-69.621048,44.144428,-153.60086,-31.61792,166.20227,,16081250000,-4.3706188,-164.04153,-54.713409,56.330227,14.181559,-69.613205,-15.653613,15.635244,,16081250000,-4.2086458,-163.38016,-55.535995,-123.49818,47.933048,-140.60315,-18.2939,-172.10074,,16081250000,-4.6090412,-148.32487,-58.601875,-8.216053,14.013933,-58.225327,-17.757433,44.485584,,16081250000,-4.5865626,-145.65208,-57.339115,-139.58949,52.209385,-47.045162,-18.962421,-172.25378,,65.282,,,,,,,
16.089375,16089375000,-2.3528466,-153.67847,-58.812103,-159.00223,8.8942165,63.06356,-22.03396,112.24864,,16089375000,-2.393414,-152.45755,-68.863152,-114.89126,44.301262,107.64006,-21.188801,178.40305,,16089375000,-2.4469199,-136.8461,-58.567513,-46.352566,9.6122026,-54.441635,-15.158923,-141.80946,,16089375000,-2.4480405,-135.31865,-60.628304,41.860847,43.939285,-178.57278,-31.883099,166.73187,,16089375000,-4.5675921,-174.48795,-58.369141,-110.06021,14.478183,-90.560722,-15.455086,1.7418666,,16089375000,-4.3798113,-175.48779,-57.013153,-133.88219,48.219913,-166.06735,-20.167454,-160.63568,,16089375000,-4.8189049,-160.0948,-65.96563,-117.65826,14.330555,-79.458885,-17.697893,28.258995,,16089375000,-5.0378852,-156.48744,-57.484497,-43.688091,52.537704,-74.209068,-18.623447,-170.26172,,65.3102,,,,,,,
16.0975,16097500000,-2.1444511,-166.31824,-57.382755,-57.343292,8.6428337,44.758045,-22.463413,89.778625,,16097500000,-2.1705229,-165.08157,-69.471977,-117.75105,44.112904,83.832138,-20.793324,172.63528,,16097500000,-2.2611463,-150.79556,-44.835751,-18.306044,9.43538,-72.009186,-15.576548,-151.52498,,16097500000,-2.1556861,-150.84955,-55.696598,-41.58482,43.746109,157.62807,-47.690025,102.42657,,16097500000,-4.7997985,176.72702,-55.58672,-53.700775,14.776257,-111.45129,-15.273747,-10.717102,,16097500000,-4.8316298,178.606,-62.135853,66.278702,48.488083,168.38939,-17.81566,-172.60172,,16097500000,-5.0789232,-169.74858,-56.106712,-8.4126625,14.676741,-100.84859,-17.574413,15.098374,,16097500000,-4.6589518,-165.2178,-55.499184,-58.029964,52.871437,-101.30402,-21.014521,167.83075,,65.3384,,,,,,,
16.105625,16105625000,-1.963805,-178.05731,-61.612885,127.33768,8.4716053,26.855757,-23.231159,70.316658,,16105625000,-2.0519028,-176.58939,-61.460564,-78.055679,43.970963,60.597126,-21.098763,172.32547,,16105625000,-2.1108384,-163.52452,-52.315243,-2.3641305,9.2928476,-89.129951,-15.953014,-161.85052,,16105625000,-2.0227056,-162.79684,-59.036953,32.317455,43.601597,134.14334,-43.111095,147.1633,,16105625000,-5.0332532,169.5457,-56.266327,-12.849401,15.043481,-132.67241,-15.028019,-23.271603,,16105625000,-4.739749,167.64561,-53.441898,-35.61787,48.7565,142.66888,-18.552212,-161.66835,,16105625000,-5.3084874,-176.90579,-56.65678,-58.357384,14.956571,-122.48425,-17.361824,0.84610051,,16105625000,-4.9482098,-171.76103,-54.381046,7.9114184,53.150665,-128.70512,-22.947355,165.18095,,65.3666,,,,,,,
16.11375,16113750000,-1.8857239,171.17972,-55.250061,158.54311,8.395998,9.2859831,-23.380795,46.593128,,16113750000,-1.9345814,172.79434,-60.146332,-61.597775,43.922432,37.599327,-21.549429,164.83873,,16113750000,-2.0206676,-174.98711,-51.172577,-67.861038,9.2112341,-105.86163,-16.318466,-170.87022,,16113750000,-2.0437183,-173.85678,-60.830502,-148.88777,43.503246,111.0905,-37.82444,119.60513,,16113750000,-5.1794596,164.08862,-78.199829,-87.114532,15.247719,-154.27072,-14.860691,-36.514153,,16113750000,-5.3413334,163.47871,-57.415977,-62.718342,48.936447,116.77914,-17.277996,-173.67485,,16113750000,-5.406322,177.40088,-61.388294,-102.81455,15.151017,-144.53711,-17.037445,-12.980351,,16113750000,-5.2501259,175.85429,-56.074318,-73.111008,53.313583,-156.67812,-20.073582,-158.76082,,65.3948,,,,,,,
16.121875,16121875000,-1.78455,160.69673,-60.792156,-12.829788,8.3904428,-8.0538225,-22.970089,24.047649,,16121875000,-1.8202991,162.067,-59.601955,54.177288,43.971725,14.634151,-20.757494,166.28999,,16121875000,-1.9296269,173.99908,-58.750053,19.541168,9.2135019,-122.39572,-16.724052,178.70352,,16121875000,-1.9534724,174.9502,-61.191505,-141.61964,43.477379,88.288406,-54.030285,166.71597,,16121875000,-5.1686387,158.80128,-58.962379,41.176067,15.353542,-175.82173,-14.607872,-48.917309,,16121875000,-5.1713696,159.6945,-62.625916,-129.63969,49.057938,90.734245,-19.323967,-171.70322,,16121875000,-5.2901793,172.3947,-64.273132,-42.572338,15.250897,-166.67696,-16.864025,-27.025251,,16121875000,-5.1711264,173.3367,-55.439339,35.489132,53.39106,175.44766,-21.977325,-146.72189,,65.423,,,,,,,
16.13,16130000000,-1.7820992,150.79404,-59.303551,-39.505672,8.5234547,-25.377205,-21.893389,1.6191863,,16130000000,-1.813138,152.168,-63.121521,-71.067429,44.100288,-8.1466045,-22.11371,167.64127,,16130000000,-1.8932631,163.68372,-53.257042,-159.89142,9.3259373,-138.80902,-17.565592,168.20877,,16130000000,-1.906636,164.26141,-51.923958,-89.889915,43.539177,65.703186,-36.141071,-47.483009,,16130000000,-5.0263929,154.20047,-55.673786,-91.280464,15.394894,162.74844,-14.382627,-60.483349,,16130000000,-5.0374904,154.37329,-64.073898,-115.35166,49.128147,64.7854,-19.2085,-168.88208,,16130000000,-5.0088682,167.70241,-54.663258,-58.992672,15.231124,171.48213,-16.364094,-39.648575,,16130000000,-4.802516,169.08954,-54.748047,-52.413803,53.349831,147.88895,-20.951292,150.12776,,65.4512,,,,,,,
16.138125,16138125000,-1.7748125,141.60028,-48.98645,30.919147,8.6816397,-42.514183,-20.833725,-15.466517,,16138125000,-1.7847755,142.34579,-55.540253,30.109482,44.329464,-31.163313,-23.524923,177.5704,,16138125000,-1.8828089,154.41132,-51.99416,23.745949,9.4810104,-155.22079,-18.112869,156.10504,,16138125000,-1.7665066,155.47104,-53.060867,56.6744,43.653797,43.258293,-34.976269,37.19133,,16138125000,-4.7346964,149.34607,-53.563057,-0.064314969,15.352293,141.72583,-14.148754,-71.653984,,16138125000,-4.4989982,148.42632,-54.533611,-1.4494275,49.106884,39.264294,-21.646818,-166.99635,,16138125000,-4.4968104,162.58197,-57.019882,38.685558,15.118436,150.01016,-16.020264,-51.922703,,16138125000,-4.2937536,164.18468,-59.367947,-4.1584892,53.217464,120.74978,-24.2446,159.14502,,65.4794,,,,,,,
16.14625,16146250000,-1.7826415,132.39696,-55.493286,80.895195,9.0057592,-59.684589,-19.864969,-31.672916,,16146250000,-1.8446059,132.74225,-53.365017,50.610786,44.631393,-53.975945,-21.966909,179.5968,,16146250000,-1.8854489,145.14334,-50.567863,51.282394,9.7627258,-171.52448,-18.874765,143.03113,,16146250000,-1.8141677,145.86363,-60.381355,59.042042,43.884434,20.926886,-45.778973,-69.951073,,16146250000,-4.3578367,143.68544,-52.290455,65.661522,15.285794,121.25332,-13.981831,-82.070709,,16146250000,-4.23311,143.61967,-62.86697,76.258163,49.074749,14.105893,-19.788092,-174.07571,,16146250000,-4.0083432,156.36826,-54.944637,99.666283,14.921081,129.55411,-15.763722,-63.377941,,16146250000,-3.2952094,161.02509,-49.664879,68.256683,53.01461,94.796196,-21.879282,119.48322,,65.5076,,,,,,,
16.154375,16154375000,-1.9203535,123.29236,-57.288021,69.8255,9.3627796,-77.000557,-18.964785,-45.030701,,16154375000,-1.7463588,123.53294,-50.393875,151.22351,45.017879,-77.221512,-23.012856,177.05176,,16154375000,-1.9737018,136.42677,-58.701855,78.699982,10.04889,172.12738,-19.492563,127.62527,,16154375000,-1.8849293,136.21414,-51.244686,72.537971,44.143894,-1.4039216,-35.201004,-80.058311,,16154375000,-4.0520725,137.31805,-51.239979,85.194336,15.152415,101.57195,-13.928852,-92.707916,,16154375000,-3.8898673,136.43095,-56.170891,94.859764,48.962574,-10.204236,-19.483929,-172.66147,,16154375000,-3.5728128,149.63995,-53.768608,77.180077,14.715336,109.71676,-15.545069,-73.924065,,16154375000,-3.1626015,152.90823,-52.581852,120.26429,52.802345,69.222076,-28.054976,150.73224,,65.5358,,,,,,,
16.1625,16162500000,-2.0658362,114.09793,-64.693535,173.11969,9.843441,-94.74527,-18.36351,-56.727814,,16162500000,-2.0966992,115.90585,-63.460552,5.7278533,45.468224,-100.50394,-22.901045,148.28792,,16162500000,-2.0771577,127.80984,-64.950005,55.73209,10.469313,155.42719,-19.8881,111.56686,,16162500000,-2.0602894,128.39255,-59.536537,119.7168,44.542461,-24.078348,-40.526833,-103.73461,,16162500000,-3.7679422,130.1338,-70.35257,-20.262875,15.082075,82.208855,-13.924604,-103.32623,,16162500000,-3.6252098,131.09988,-56.428539,-140.73297,48.920616,-34.152973,-20.424408,-178.15034,,16162500000,-3.2237167,142.18796,-60.736523,66.979141,14.509419,90.708214,-15.434939,-84.844955,,16162500000,-3.4007659,143.75,-58.460644,-81.116653,52.578873,44.675587,-23.298325,159.64215,,65.564,,,,,,,
16.170625,16170625000,-2.3637695,104.44789,-56.859127,108.02563,10.414924,-112.8177,-17.703718,-70.107651,,16170625000,-2.3852246,106.09668,-62.650269,63.873623,46.038067,-124.42105,-23.550982,151.12662,,16170625000,-2.3223276,119.1818,-52.938927,74.968155,10.945299,138.37442,-20.408325,94.963768,,16170625000,-2.404634,120.04399,-51.876381,78.283653,44.987614,-46.889027,-32.507011,88.94297,,16170625000,-3.6747282,122.45712,-54.74295,112.51073,15.054475,63.40382,-13.846365,-114.44931,,16170625000,-3.7364936,122.62777,-57.488064,124.34032,48.928303,-57.643684,-18.316031,167.41518,,16170625000,-3.0096469,134.28729,-57.961285,74.223412,14.392232,72.296562,-15.215203,-96.202423,,16170625000,-3.1251917,134.78676,-54.590195,63.686352,52.455341,20.665483,-19.149076,172.66602,,65.5922,,,,,,,
16.17875,16178750000,-2.7266393,94.382004,-56.444088,-40.777569,11.058359,-131.59048,-17.176651,-81.804825,,16178750000,-2.7234674,95.800644,-71.13369,-2.3716767,46.633301,-148.77553,-23.348721,153.94382,,16178750000,-2.5769639,110.22662,-60.017277,-30.028223,11.490308,120.75447,-20.560276,77.649498,,16178750000,-2.6661029,111.696,-55.388634,-173.31233,45.529457,-70.398575,-41.090141,142.51645,,16178750000,-3.5922654,113.67002,-70.03157,159.04184,15.082589,45.004837,-13.929051,-124.19082,,16178750000,-3.6481669,115.19905,-54.197037,-176.51918,48.986267,-80.955444,-18.523354,158.1434,,16178750000,-2.8420277,125.99518,-55.931248,144.33899,14.318195,54.439404,-15.127656,-106.82959,,16178750000,-3.0100155,126.0556,-54.246506,-138.26541,52.385643,-2.7067788,-19.976179,-167.94353,,65.6204,,,,,,,
16.186875,16186875000,-3.2040143,84.459091,-59.646183,-131.19627,11.753963,-151.04491,-16.581139,-91.803459,,16186875000,-2.9940698,86.126747,-55.020763,-168.82193,47.307072,-173.79462,-27.521608,158.12503,,16186875000,-2.9309278,101.80966,-52.991993,154.48811,12.057008,102.67191,-20.686474,58.203388,,16186875000,-2.7652814,103.75858,-51.581093,157.72089,46.093807,-94.214401,-29.757122,-4.3663588,,16186875000,-3.5250528,105.00213,-55.327576,118.44102,15.178738,26.832136,-13.956144,-134.13319,,16186875000,-3.2051566,105.53342,-51.913429,128.91901,49.113674,-103.89487,-23.375696,179.71454,,16186875000,-2.7015872,117.43839,-65.238152,-122.09257,14.327689,37.00499,-14.920364,-116.14445,,16186875000,-2.8919466,119.07153,-59.696701,-147.65053,52.405193,-25.827938,-20.352793,159.75545,,65.6486,,,,,,,
16.195,16195000000,-3.8284557,73.362274,-54.566288,-157.11266,12.454679,-171.43558,-16.361574,-102.62229,,16195000000,-3.7926795,73.325401,-57.106884,149.96384,47.976429,160.13501,-22.280518,161.46741,,16195000000,-3.3795216,92.691917,-53.247471,173.27913,12.646333,83.81794,-20.087547,41.405037,,16195000000,-3.2141488,95.284309,-52.874191,-139.51689,46.704147,-118.83961,-29.634691,-3.8536885,,16195000000,-3.5695276,95.153458,-53.904285,-157.50644,15.352682,8.7259827,-14.206341,-144.3976,,16195000000,-3.3628922,94.278778,-54.93119,126.28117,49.295452,-127.0097,-20.371897,-173.82796,,16195000000,-2.6639242,108.1908,-54.292664,-177.05414,14.464698,19.591152,-15.062135,-126.89668,,16195000000,-2.7127576,110.58488,-61.014198,-142.99586,52.537037,-48.662987,-22.272717,145.91191,,65.6768,,,,,,,
16.203125,16203125000,-4.7969155,62.361786,-52.730022,-59.64389,13.164761,167.55354,-16.247898,-112.41479,,16203125000,-4.3286839,63.47678,-52.010166,-81.969803,48.643543,133.68704,-24.709297,168.40912,,16203125000,-3.9897399,84.382179,-63.35199,-60.283108,13.241423,64.574661,-19.231394,25.469595,,16203125000,-3.6336071,86.40506,-51.883759,-116.21214,47.302624,-143.97418,-28.426409,-40.279099,,16203125000,-3.7627351,84.906998,-54.935383,-47.140797,15.618742,-9.4417229,-14.500826,-154.75822,,16203125000,-3.7009425,90.564774,-48.276249,-47.591946,49.566792,-149.85153,-23.703665,132.287,,16203125000,-2.701735,98.932167,-49.690891,-69.53952,14.666816,2.5407298,-15.317772,-137.5589,,16203125000,-3.2926133,102.78248,-51.122715,-53.29097,52.754814,-71.20472,-20.410192,129.28796,,65.705,,,,,,,
16.21125,16211250000,-6.0721607,50.32206,-53.65704,94.473633,13.789843,145.59041,-16.264103,-122.9267,,16211250000,-6.0759459,55.583076,-49.796665,72.315315,49.273441,106.10831,-31.000816,167.49344,,16211250000,-4.7800655,75.620094,-52.990841,77.529076,13.778018,44.544754,-18.460239,10.207162,,16211250000,-5.1329179,78.188499,-49.194511,70.980927,47.868977,-169.86668,-27.697416,11.615455,,16211250000,-4.0736461,73.881866,-56.866432,106.86722,15.930737,-27.890076,-14.765211,-165.10722,,16211250000,-4.6889849,74.331322,-47.912636,103.98338,49.864666,-173.24753,-19.759209,132.06686,,16211250000,-2.828779,88.846649,-49.24387,114.80819,14.968415,-14.950425,-15.348541,-147.06749,,16211250000,-3.4017165,88.293793,-49.940418,61.934879,53.075504,-94.49128,-19.952442,133.54282,,65.7332,,,,,,,
